brand,size,color,upc,sku
Antron Yarn,Standard,Black,053526423167,1264-42316
Antron Yarn,Standard,Brown,053526423341,1264-42334
Antron Yarn,Standard,Brown Olive,053526423143,1264-42314
Antron Yarn,Standard,Burnt Orange,053526423051,1264-42305
Antron Yarn,Standard,Caddis Green,053526423358,1264-42335
Antron Yarn,Standard,Copper Brown,053526423075,1264-42307
Antron Yarn,Standard,Cream,053526423020,1264-42302
Antron Yarn,Standard,Dark Brown,053526423105,1264-42310
Antron Yarn,Standard,Fire Orange,053526423273,1264-42327
Antron Yarn,Standard,Fluorescent Bright White,053526423372,1264-42337
Antron Yarn,Standard,Fluorescent Cerise,053526423303,1264-42330
Antron Yarn,Standard,Fluorescent Chartreuse,053526423297,1264-42329
Antron Yarn,Standard,Fluorescent Green,053526423365,1264-42336
Antron Yarn,Standard,Fluorescent Orange,053526423266,1264-42326
Antron Yarn,Standard,Fluorescent Pink,053526423334,1264-42333
Antron Yarn,Standard,Fluorescent Red,053526423242,1264-42324
Antron Yarn,Standard,Fluorescent Shell Pink,053526423280,1264-42328
Antron Yarn,Standard,Fluorescent Yellow,053526423259,1264-42325
Antron Yarn,Standard,Golden Brown,053526423327,1264-42332
Antron Yarn,Standard,Golden Yellow,053526423044,1264-42304
Antron Yarn,Standard,Gray Brown,053526423310,1264-42331
Antron Yarn,Standard,Gray Dun,053526423402,1264-42340
Antron Yarn,Standard,Light Gray,053526423068,1264-42306
Antron Yarn,Standard,Medium Olive,053526423228,1264-42322
Antron Yarn,Standard,Olive Dun,053526423235,1264-42323
Antron Yarn,Standard,Olive Green,053526423389,1264-42338
Antron Yarn,Standard,P.M.D Shuck Olive,053526423204,1264-42320
Antron Yarn,Standard,Purple,053526423150,1264-42315
Antron Yarn,Standard,Red,053526423112,1264-42311
Antron Yarn,Standard,Rusty Orange,053526423211,1264-42321
Antron Yarn,Standard,Steel Gray,053526423198,1264-42319
Antron Yarn,Standard,Tan,053526423082,1264-42308
Antron Yarn,Standard,White,053526423013,1264-42301
Antron Yarn,Standard,Wine,053526423129,1264-42312
Antron Yarn,Standard,Yellow,053526423037,1264-42303
UTC Thread,70 Denier,Black,053526300123,1264-30012
UTC Thread,70 Denier,Blue Dun,053526300055,1264-30005
UTC Thread,70 Denier,Brown,053526300253,1264-30025
UTC Thread,70 Denier,Brown Olive,053526300116,1264-30011
UTC Thread,70 Denier,Burnt Orange,053526300192,1264-30019
UTC Thread,70 Denier,Cream,053526300024,1264-30002
UTC Thread,70 Denier,Dark Brown,053526300093,1264-30009
UTC Thread,70 Denier,Dark Gray,053526300291,1264-30029
UTC Thread,70 Denier,Fluorescent Cerise,053526300246,1264-30024
UTC Thread,70 Denier,Fluorescent Chartreuse,053526300178,1264-30017
UTC Thread,70 Denier,Fluorescent Fire Orange,053526300161,1264-30016
UTC Thread,70 Denier,Fluorescent Green,053526300222,1264-30022
UTC Thread,70 Denier,Fluorescent Orange,053526300154,1264-30015
UTC Thread,70 Denier,Fluorescent Pink,053526300185,1264-30018
UTC Thread,70 Denier,Fluorescent Shell Pink,053526300239,1264-30023
UTC Thread,70 Denier,Fluorescent White,053526300338,1264-30033
UTC Thread,70 Denier,Fluorescent Yellow,053526300215,1264-30021
UTC Thread,70 Denier,Gray Brown,053526300130,1264-30013
UTC Thread,70 Denier,Hopper Yellow,053526300048,1264-30004
UTC Thread,70 Denier,Light Olive,053526300802,1264-30080
UTC Thread,70 Denier,Light Tan,053526300345,1264-30034
UTC Thread,70 Denier,Olive,053526300109,1264-30010
UTC Thread,70 Denier,Olive Green,053526300147,1264-30014
UTC Thread,70 Denier,Peacock Blue,053526300314,1264-30031
UTC Thread,70 Denier,Purple,053526300284,1264-30028
UTC Thread,70 Denier,Red,053526300086,1264-30008
UTC Thread,70 Denier,Rusty Brown,053526300079,1264-30007
UTC Thread,70 Denier,Tan,053526300062,1264-30006
UTC Thread,70 Denier,Watery Olive,053526300321,1264-30032
UTC Thread,70 Denier,White,053526300017,1264-30001
UTC Thread,70 Denier,Wine,053526300260,1264-30026
UTC Thread,70 Denier,Wood Duck,053526300307,1264-30030
UTC Thread,70 Denier,Yellow,053526300031,1264-30003
UTC Thread,70 Denier,Yellow Olive,053526300277,1264-30027
UTC Thread,140 Denier,Black,053526301120,1264-30112
UTC Thread,140 Denier,Blue Dun,053526301052,1264-30105
UTC Thread,140 Denier,Brown,053526301250,1264-30125
UTC Thread,140 Denier,Brown Olive,053526301113,1264-30111
UTC Thread,140 Denier,Burnt Orange,053526301199,1264-30119
UTC Thread,140 Denier,Cream,053526301021,1264-30102
UTC Thread,140 Denier,Dark Brown,053526301090,1264-30109
UTC Thread,140 Denier,Dark Gray,053526301298,1264-30129
UTC Thread,140 Denier,Fluorescent Cerise,053526301243,1264-30124
UTC Thread,140 Denier,Fluorescent Chartreuse,053526301175,1264-30117
UTC Thread,140 Denier,Fluorescent Fire Orange,053526301168,1264-30116
UTC Thread,140 Denier,Fluorescent Green,053526301229,1264-30122
UTC Thread,140 Denier,Fluorescent Orange,053526301151,1264-30115
UTC Thread,140 Denier,Fluorescent Pink,053526301182,1264-30118
UTC Thread,140 Denier,Fluorescent Red,053526301205,1264-30120
UTC Thread,140 Denier,Fluorescent Shell Pink,053526301236,1264-30123
UTC Thread,140 Denier,Fluorescent White,053526301335,1264-30133
UTC Thread,140 Denier,Fluorescent Yellow,053526301212,1264-30121
UTC Thread,140 Denier,Gray Brown,053526301137,1264-30113
UTC Thread,140 Denier,Hopper Yellow,053526301045,1264-30104
UTC Thread,140 Denier,Light Olive,053526301342,1264-30134
UTC Thread,140 Denier,Olive,053526301106,1264-30110
UTC Thread,140 Denier,Olive Green,053526301144,1264-30114
UTC Thread,140 Denier,Peacock Blue,053526301311,1264-30131
UTC Thread,140 Denier,Purple,053526301281,1264-30128
UTC Thread,140 Denier,Red,053526301083,1264-30108
UTC Thread,140 Denier,Rusty Brown,053526301076,1264-30107
UTC Thread,140 Denier,Tan,053526301069,1264-30106
UTC Thread,140 Denier,Watery Olive,053526301328,1264-30132
UTC Thread,140 Denier,White,053526301014,1264-30101
UTC Thread,140 Denier,Wine,053526301267,1264-30126
UTC Thread,140 Denier,Wood Duck,053526301304,1264-30130
UTC Thread,140 Denier,Yellow,053526301038,1264-30103
UTC Thread,140 Denier,Yellow Olive,053526301274,1264-30127
UTC Thread,210 Denier,Black,053526421088,1264-42108
UTC Thread,210 Denier,Brown,053526421217,1264-42121
UTC Thread,210 Denier,Burnt Orange,053526421194,1264-42119
UTC Thread,210 Denier,Dark Brown,053526421064,1264-42106
UTC Thread,210 Denier,Fluorescent Cerise,053526421187,1264-42118
UTC Thread,210 Denier,Fluorescent Chartreuse,053526421163,1264-42116
UTC Thread,210 Denier,Fluorescent Fire Orange,053526421149,1264-42114
UTC Thread,210 Denier,Fluorescent Green,053526421132,1264-42113
UTC Thread,210 Denier,Fluorescent Orange,053526421125,1264-42112
UTC Thread,210 Denier,Fluorescent Pink,053526421170,1264-42117
UTC Thread,210 Denier,Fluorescent Red,053526421101,1264-42110
UTC Thread,210 Denier,Fluorescent Shell Pink,053526421156,1264-42115
UTC Thread,210 Denier,Fluorescent Yellow,053526421118,1264-42111
UTC Thread,210 Denier,Gray,053526421200,1264-42120
UTC Thread,210 Denier,Light Olive,053526421224,1264-42122
UTC Thread,210 Denier,Olive,053526421071,1264-42107
UTC Thread,210 Denier,Olive Green,053526421095,1264-42109
UTC Thread,210 Denier,Peacock Blue,053526421248,1264-42124
UTC Thread,210 Denier,Purple,053526421231,1264-42123
UTC Thread,210 Denier,Red,053526421057,1264-42105
UTC Thread,210 Denier,Rusty Brown,053526421040,1264-42104
UTC Thread,210 Denier,Tan,053526421033,1264-42103
UTC Thread,210 Denier,White,053526421019,1264-42101
UTC Thread,210 Denier,Yellow,053526421026,1264-42102
UTC Thread,280 Denier,Black,053526377071,1264-37707
UTC Thread,280 Denier,Burnt Orange,053526377118,1264-37711
UTC Thread,280 Denier,Dark Brown,053526377057,1264-37705
UTC Thread,280 Denier,Fluorescent Cerise,053526377200,1264-37720
UTC Thread,280 Denier,Fluorescent Chartreuse,053526377101,1264-37710
UTC Thread,280 Denier,Fluorescent Fire Orange,053526377095,1264-37709
UTC Thread,280 Denier,Fluorescent Green,053526377170,1264-37717
UTC Thread,280 Denier,Fluorescent Orange,053526377163,1264-37716
UTC Thread,280 Denier,Fluorescent Pink,053526377194,1264-37719
