zip,tier
01002,DAS
01005,DAS_EXTENDED
01007,DAS
01008,DAS_EXTENDED
01010,DAS
01011,DAS_EXTENDED
01012,DAS_EXTENDED
01026,REMOTE_US48
01029,DAS
01031,DAS_EXTENDED
01032,DAS
01033,DAS
01034,DAS_EXTENDED
01036,DAS
01037,DAS_EXTENDED
01038,DAS
01039,DAS
01050,DAS_EXTENDED
01054,DAS_EXTENDED
01056,DAS
01057,DAS
01066,DAS_EXTENDED
01068,DAS_EXTENDED
01069,DAS
01070,DAS_EXTENDED
01071,DAS_EXTENDED
01072,REMOTE_US48
01073,DAS
01074,DAS_EXTENDED
01079,DAS
01080,DAS
01081,DAS_EXTENDED
01082,DAS
01083,DAS
01084,DAS_EXTENDED
01088,DAS
01092,DAS_EXTENDED
01093,DAS
01094,DAS
01096,DAS_EXTENDED
01097,DAS
01098,DAS_EXTENDED
01220,DAS
01222,DAS_EXTENDED
01223,DAS_EXTENDED
01224,DAS
01225,DAS
01226,DAS
01227,DAS
01229,DAS_EXTENDED
01230,DAS_EXTENDED
01235,DAS_EXTENDED
01236,DAS
01237,DAS_EXTENDED
01240,DAS
01243,DAS_EXTENDED
01244,DAS_EXTENDED
01245,DAS_EXTENDED
01247,DAS
01252,DAS
01253,DAS_EXTENDED
01254,DAS_EXTENDED
01255,DAS_EXTENDED
01256,DAS_EXTENDED
01257,DAS
01258,DAS_EXTENDED
01259,DAS_EXTENDED
01260,DAS
01262,DAS_EXTENDED
01263,DAS_EXTENDED
01264,DAS_EXTENDED
01266,DAS_EXTENDED
01267,DAS
01270,DAS_EXTENDED
01330,DAS_EXTENDED
01331,DAS
01337,DAS
01338,DAS
01339,DAS_EXTENDED
01340,DAS_EXTENDED
01341,DAS_EXTENDED
01343,DAS_EXTENDED
01344,DAS_EXTENDED
01346,DAS_EXTENDED
01349,DAS
01350,DAS_EXTENDED
01351,DAS
01355,DAS_EXTENDED
01360,DAS_EXTENDED
01364,DAS
01366,DAS_EXTENDED
01367,DAS_EXTENDED
01368,REMOTE_US48
01370,DAS_EXTENDED
01375,DAS
01376,DAS
01378,DAS_EXTENDED
01379,DAS_EXTENDED
01380,DAS
01420,DAS
01430,DAS
01431,DAS
01432,DAS
01436,DAS
01438,DAS
01450,DAS
01451,DAS
01452,DAS_EXTENDED
01462,DAS
01463,DAS
01464,DAS
01468,DAS
01469,DAS
01470,DAS
01471,DAS
01473,DAS
01474,DAS
01475,DAS_EXTENDED
01503,DAS
01504,DAS
01506,DAS
01507,DAS_EXTENDED
01509,DAS
01515,DAS
01516,DAS
01518,DAS
01521,DAS
01522,DAS
01523,DAS
01529,DAS
01531,DAS_EXTENDED
01535,DAS
01541,DAS
01542,DAS
01543,DAS
01550,DAS
01561,DAS_EXTENDED
01562,DAS
01566,DAS
01568,DAS
01585,DAS_EXTENDED
01590,DAS
01611,DAS
01612,DAS
01720,DAS
01741,DAS
01754,DAS
01756,DAS_EXTENDED
01770,DAS
01773,DAS
01775,DAS
01826,DAS
01827,DAS
01830,DAS
01832,DAS
01833,DAS
01860,DAS
01879,DAS
01885,DAS_EXTENDED
01921,DAS
01922,DAS
01929,DAS
01930,DAS
01936,DAS
01938,DAS
01944,DAS
01949,DAS
01950,DAS
01951,DAS
01952,DAS
01966,DAS
01969,DAS
01982,DAS
01983,DAS
01985,DAS
02025,DAS
02030,DAS
02031,DAS
02045,DAS
02047,DAS_EXTENDED
02053,DAS
02054,DAS
02056,DAS
02066,DAS
02108,DAS
02109,DAS
02110,DAS
02111,DAS
02113,DAS
02114,DAS
02116,DAS
02127,DAS
02203,DAS
02210,DAS
02269,DAS
02330,DAS
02332,DAS
02338,DAS
02341,DAS
02347,DAS
02364,DAS
02366,DAS
02367,DAS
02534,DAS
02535,REMOTE_US48
02536,DAS
02538,DAS
02539,REMOTE_US48
02540,DAS
02541,DAS
02542,DAS
02552,REMOTE_US48
